state,electorate,site_id,latitude,longitude,legs,description,layout_1,layout_1_enter,layout_2,layout_2_enter,layout_3,layout_3_enter,layout_4,layout_4_enter,layout_5,layout_5_enter,layout_6,layout_6_enter,leg1-2,leg1-3,leg1-4,leg1-5,leg1-6,leg2-1,leg2-3,leg2-4,leg2-5,leg2-6,leg3-1,leg3-2,leg3-4,leg3-5,leg3-6,leg4-1,leg4-2,leg4-3,leg4-5,leg4-6,leg5-1,leg5-2,leg5-3,leg5-4,leg5-6,leg6-1,leg6-2,leg6-3,leg6-4,leg6-5,leg1_enter,leg1_exit,leg1_total,leg2_enter,leg2_exit,leg2_total,leg3_enter,leg3_exit,leg3_total,leg4_enter,leg4_exit,leg4_total,leg5_enter,leg5_exit,leg5_total,leg6_enter,leg6_exit,leg6_total,female,male,not known,total,year,7:00 AM,7:15 AM,7:30 AM,7:45 AM,8:00 AM,8:15 AM,8:30 AM,8:45 AM,location,geolocation
VIC,Melbourne,4417,-37.808903,144.966278,4,"La Trobe St [E], Russell St (city) [S], La Trobe St [W], Russell St [N]",70,250,160,340,250,70,340,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,536,7,742,2018,29,56,73,76,120,129,146,113,POINT (144.966278 -37.808903),"-37.808903, 144.966278"
VIC,Melbourne,4418,-37.809248,144.972971,4,"Nicholson St [N], Albert St [E], Nicholson St [S], Lonsdale St [W]",8,188,98,278,188,8,250,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,379,2,562,2018,26,43,52,73,79,102,90,97,POINT (144.972971 -37.809248),"-37.809248, 144.972971"
VIC,Melbourne,4420,-37.809547,144.975632,4,"Gisborne St [N], Albert St [E], Gisborne St [S], Albert St (city) [W]",8,188,98,278,188,8,278,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,662,3,931,2018,31,81,85,119,159,159,160,137,POINT (144.975632 -37.809547),"-37.809547, 144.975632"
VIC,Melbourne,4425,-37.811039,144.958847,4,"La Trobe towards Exhibition St [E], Queen St [S], La Trobe St [W], Queen St [N]",70,250,160,340,250,70,340,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,522,2,695,2018,35,52,60,93,111,127,105,112,POINT (144.958847 -37.811039),"-37.811039, 144.958847"
VIC,Melbourne,4427,-37.811749,144.956451,4,"La Trobe towards Exhibition St [E], William St [S], La Trobe St [W], William St [N]",70,250,160,340,250,70,340,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323,869,3,1195,2018,67,91,120,166,168,191,183,209,POINT (144.956451 -37.811749000000006),"-37.811749, 144.956451"
VIC,Melbourne,4435,-37.816005,144.972394,4,"Flinders St [E], Batman Ave [SE], Flinders St [W], Exhibition St (city) [N]",70,250,146,326,250,70,340,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,648,0,823,2018,38,66,94,107,147,113,140,118,POINT (144.972394 -37.816005),"-37.816005, 144.972394"
VIC,Melbourne,4436,-37.817448,144.967438,4,"Flinders St [E], Swanston St [S], Flinders St [W], Swanston St [N]",70,250,160,340,250,70,340,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532,1259,0,1791,2018,104,99,221,237,279,309,316,226,POINT (144.967438 -37.817448),"-37.817448, 144.967438"
VIC,Melbourne,4448,-37.823795,144.947479,3,"Capital City Trail [E], Path to marina [S], Webb Bridge [N]",100,280,190,10,345,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,331,2,411,2018,36,40,58,82,49,28,60,58,POINT (144.947479 -37.823795000000004),"-37.823795, 144.947479"
VIC,Melbourne,4450,-37.825213,144.957006,5,"Whiteman St [NE], Clarendon St [S], Whiteman St [SW], Normanby Rd/Trail [SW], Clarendon St [N]",50,230,160,340,213,33,236,56,340,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,634,2,840,2018,59,89,96,107,144,143,113,89,POINT (144.957006 -37.825213),"-37.825213, 144.957006"
VIC,Melbourne,4983,-37.810411,144.983541,4,"Clarendon St [N], Albert St [E], Clarendon St [S], Albert St [W]",7,187,98,278,187,7,279,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323,663,5,991,2018,37,80,91,128,172,173,173,137,POINT (144.983541 -37.810411),"-37.810411, 144.983541"
